index,citations,year,Title,citations_average
413,6,1990,CAM Storage of Analog Patterns and Continuous Sequences with 3N2 Weights,0.21428571428571427
414,807,1990,Generalization by Weight-Elimination with Application to Forecasting,28.821428571428573
415,15,1990,A Short-Term Memory Architecture for the Learning of Morphophonemic Rules,0.5357142857142857
417,8,1990,ALCOVE: A Connectionist Model of Human Category Learning,0.2857142857142857
419,4,1990,A Lagrangian Approach to Fixed Points,0.14285714285714285
420,16,1990,Phase-coupling in Two-Dimensional Networks of Interacting Oscillators,0.5714285714285714
422,115,1990,A Comparative Study of the Practical Characteristics of Neural Network and Conventional Pattern Classifiers,4.107142857142857
423,3,1990,Asymptotic slowing down of the nearest-neighbor classifier,0.10714285714285714
424,14,1990,Further Studies of a Model for the Development and Regeneration of Eye-Brain Maps,0.5
425,4,1990,Phonetic Classification and Recognition Using the Multi-Layer Perceptron,0.14285714285714285
426,61,1990,Dynamics of Learning in Recurrent Feature-Discovery Networks,2.1785714285714284
427,66,1990,Optimal Sampling of Natural Images: A Design Principle for the Visual System,2.357142857142857
430,22,1991,Self-organization in real neurons: Anti-Hebb in 'Channel Space'?,0.8148148148148148
432,186,1991,Principled Architecture Selection for Neural Networks: Application to Corporate Bond Rating Prediction,6.888888888888889
438,1,1991,CCD Neural Network Processors for Pattern Recognition,0.037037037037037035
439,1,1991,Oscillatory Neural Fields for Globally Optimal Path Planning,0.037037037037037035
441,1,1991,A Network of Localized Linear Discriminants,0.037037037037037035
442,230,1991,Improving the Performance of Radial Basis Function Networks by Learning Center Locations,8.518518518518519
443,4,1991,A Parallel Analog CCD/CMOS Signal Processor,0.14814814814814814
445,33,1991,Competitive Anti-Hebbian Learning of Invariants,1.2222222222222223
449,30,1991,Nonlinear Pattern Separation in Single Hippocampal Neurons with Active Dendritic Membrane,1.1111111111111112
450,16,1991,A Neurocomputer Board Based on the ANNA Neural Network Chip,0.5925925925925926
451,52,1991,Recognizing Overlapping Hand-Printed Characters by Centered-Object Integrated Segmentation and Recognition,1.9259259259259258
453,70,1991,The Efficient Learning of Multiple Task Sequences,2.5925925925925926
455,46,1991,Networks with Learned Unit Response Functions,1.7037037037037037
457,7,1991,Constrained Optimization Applied to the Parameter Setting Problem for Analog Circuits,0.25925925925925924
459,163,1991,Active Exploration in Dynamic Environments,6.037037037037037
460,2,1991,A Neural Net Model for Adaptive Control of Saccadic Accuracy by Primate Cerebellum and Brainstem,0.07407407407407407
461,20,1991,Network Model of State-Dependent Sequencing,0.7407407407407407
464,0,1991,Single Neuron Model: Response to Weak Modulation in the Presence of Noise,0.0
468,6,1991,Threshold Network Learning in the Presence of Equivalences,0.2222222222222222
469,23,1991,Forward Dynamics Modeling of Speech Motor Control Using Physiological Data,0.8518518518518519
470,5,1991,"Splines, Rational Functions and Neural Networks",0.18518518518518517
471,10,1991,Neural Network - Gaussian Mixture Hybrid for Speech Recognition or Density Estimation,0.37037037037037035
472,84,1991,Induction of Finite-State Automata Using Second-Order Recurrent Networks,3.111111111111111
474,0,1991,Stationarity of Synaptic Coupling Strength Between Neurons with Nonstationary Discharge Properties,0.0
476,29,1991,Oscillatory Model of Short Term Memory,1.0740740740740742
477,78,1991,Bayesian Model Comparison and Backprop Nets,2.888888888888889
479,4,1991,Polynomial Uniform Convergence of Relative Frequencies to Probabilities,0.14814814814814814
484,12,1991,Optical Implementation of a Self-Organizing Feature Extractor,0.4444444444444444
486,17,1991,A Comparison of Projection Pursuit and Neural Network Regression Modeling,0.6296296296296297
