index,citations,year,Title,citations_average,predicted_citations
353,27,1990,Discrete Affine Wavelet Transforms For Anaylsis And Synthesis Of Feedfoward Neural Networks,0.9642857142857144,266.6973124457476
355,5,1990,The Devil and the Network: What Sparsity Implies to Robustness and Memory,0.17857142857142858,56.87030585318194
357,30,1990,Development and Spatial Structure of Cortical Feature Maps: A Model Study,1.0714285714285714,62.44570518251556
358,10,1990,A Recurrent Neural Network for Word Identification from Continuous Phoneme Strings,0.35714285714285715,159.85447434959528
360,3,1990,Speech Recognition Using Connectionist Approaches,0.10714285714285714,133.98852923168357
361,60,1990,Grouping Contours by Iterated Pairing Network,2.142857142857143,82.19871462208536
362,42,1990,Back Propagation Implementation on the Adaptive Solutions CNAPS Neurocomputer Chip,1.5,19.684577409289243
363,435,1990,"EMPATH: Face, Emotion, and Gender Recognition Using Holons",15.535714285714285,98.75139272615175
364,59,1990,Integrated Modeling and Control Based on Reinforcement Learning and Dynamic Programming,2.107142857142857,360.7096738393011
368,4,1990,Stereopsis by a Neural Network Which Learns the Constraints,0.14285714285714285,190.13173537923157
369,2,1990,Learning Theory and Experiments with Competitive Networks,0.07142857142857142,721.447294704999
370,16,1990,Basis-Function Trees as a Generalization of Local Variable Selection Methods for Function Approximation,0.5714285714285714,61.66511794175713
371,257,1990,Cholinergic Modulation May Enhance Cortical Associative Memory Function,9.178571428571429,21.57892876791422
372,191,1990,A competitive modular connectionist architecture,6.821428571428571,21.017105340848964
373,123,1990,Reinforcement Learning in Markovian and Non-Markovian Environments,4.392857142857143,401.67558450346854
374,307,1990,The Recurrent Cascade-Correlation Architecture,10.964285714285712,60.53516033348478
376,15,1990,A Connectionist Learning Control Architecture for Navigation,0.5357142857142857,425.3894399682986
377,3,1990,From Speech Recognition to Spoken Language Understanding: The Development of the MIT SUMMIT and VOYAGER Systems,0.10714285714285714,36.75010075624934
378,45,1990,Stochastic Neurodynamics,1.6071428571428572,107.15076342274618
379,67,1990,A Delay-Line Based Motion Detection Chip,2.392857142857143,26.293281207637925
380,41,1990,Discovering Viewpoint-Invariant Relationships That Characterize Objects,1.4642857142857142,8.764244335904255
383,132,1990,Spoken Letter Recognition,4.714285714285714,54.10785372824828
384,34,1990,Planning with an Adaptive World Model,1.2142857142857142,68.52185930341324
386,2,1990,Analog Computation at a Critical Point: A Novel Function for Neuronal Oscillations?,0.07142857142857142,17.2819958589826
388,20,1990,Natural Dolphin Echo Recognition Using an Integrator Gateway Network,0.7142857142857143,111.84344135911405
389,1,1990,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,0.03571428571428571,21.407434854267212
390,26,1990,Remarks on Interpolation and Recognition Using Neural Nets,0.9285714285714286,252.71812582654113
393,37,1990,e-Entropy and the Complexity of Feedforward Neural Networks,1.3214285714285714,392.6909263840541
395,7,1990,A Multiscale Adaptive Network Model of Motion Computation in Primates,0.25,73.26001503943492
397,4,1990,Feedback Synapse to Cone and Light Adaptation,0.14285714285714285,12.4355966313876
398,1,1990,Designing Linear Threshold Based Neural Network Pattern Classifiers,0.03571428571428571,169.4584668812966
399,27,1990,Convergence of a Neural Network Classifier,0.9642857142857144,273.0493643630317
400,6,1990,"Interaction Among Ocularity, Retinotopy and On-center/Off-center Pathways During Development",0.21428571428571427,10.175646578035785
402,135,1990,Using Genetic Algorithms to Improve Pattern Classification Performance,4.821428571428571,151.9523440579371
404,9,1990,Neural Network Application to Diagnostics and Control of Vehicle Control Systems,0.32142857142857145,148.57894006814686
405,84,1990,Connectionist Implementation of a Theory of Generalization,3.0,26.493195338365098
406,2,1990,Statistical Mechanics of Temporal Association in Neural Networks,0.07142857142857142,398.2510005233182
408,15,1990,Simple Spin Models for the Development of Ocular Dominance Columns and Iso-Orientation Patches,0.5357142857142857,48.45928859660873
409,3,1990,Order Reduction for Dynamical Systems Describing the Behavior of Complex Neurons,0.10714285714285714,22.52302379492203
410,53,1990,An Analog VLSI Chip for Finding Edges from Zero-crossings,1.8928571428571428,6.142205582535969
411,16,1990,How Receptive Field Parameters Affect Neural Learning,0.5714285714285714,417.5810283730465
412,36,1990,Computing with Arrays of Bell-Shaped and Sigmoid Functions,1.2857142857142858,8.937890330036156
413,6,1990,CAM Storage of Analog Patterns and Continuous Sequences with 3N2 Weights,0.21428571428571427,15.516024617254184
414,807,1990,Generalization by Weight-Elimination with Application to Forecasting,28.82142857142857,70.90487373427217
415,15,1990,A Short-Term Memory Architecture for the Learning of Morphophonemic Rules,0.5357142857142857,316.36636819885183
417,8,1990,ALCOVE: A Connectionist Model of Human Category Learning,0.2857142857142857,384.127447847389
419,4,1990,A Lagrangian Approach to Fixed Points,0.14285714285714285,15.823579534846806
420,16,1990,Phase-coupling in Two-Dimensional Networks of Interacting Oscillators,0.5714285714285714,232.56872792771256
422,115,1990,A Comparative Study of the Practical Characteristics of Neural Network and Conventional Pattern Classifiers,4.107142857142857,128.3139753606575
423,3,1990,Asymptotic slowing down of the nearest-neighbor classifier,0.10714285714285714,11.982039504304845
424,14,1990,Further Studies of a Model for the Development and Regeneration of Eye-Brain Maps,0.5,28.051680652025127
425,4,1990,Phonetic Classification and Recognition Using the Multi-Layer Perceptron,0.14285714285714285,166.52615990840414
426,61,1990,Dynamics of Learning in Recurrent Feature-Discovery Networks,2.1785714285714284,637.5143126554394
427,66,1990,Optimal Sampling of Natural Images: A Design Principle for the Visual System,2.357142857142857,65.57370002209146
430,22,1991,Self-organization in real neurons: Anti-Hebb in 'Channel Space'?,0.8148148148148148,24.638815148404127
432,186,1991,Principled Architecture Selection for Neural Networks: Application to Corporate Bond Rating Prediction,6.888888888888888,265.61218968652605
438,1,1991,CCD Neural Network Processors for Pattern Recognition,0.037037037037037035,202.01036760680606
439,1,1991,Oscillatory Neural Fields for Globally Optimal Path Planning,0.037037037037037035,143.36365589182836
441,1,1991,A Network of Localized Linear Discriminants,0.037037037037037035,88.46057596340307
442,230,1991,Improving the Performance of Radial Basis Function Networks by Learning Center Locations,8.518518518518519,391.7998192645912
443,4,1991,A Parallel Analog CCD/CMOS Signal Processor,0.14814814814814814,13.317632272851833
445,33,1991,Competitive Anti-Hebbian Learning of Invariants,1.2222222222222223,413.4148590190231
449,30,1991,Nonlinear Pattern Separation in Single Hippocampal Neurons with Active Dendritic Membrane,1.1111111111111112,24.419761947931764
450,16,1991,A Neurocomputer Board Based on the ANNA Neural Network Chip,0.5925925925925926,172.4498136954371
451,52,1991,Recognizing Overlapping Hand-Printed Characters by Centered-Object Integrated Segmentation and Recognition,1.9259259259259256,52.88095591210199
453,70,1991,The Efficient Learning of Multiple Task Sequences,2.592592592592593,481.58052401230526
455,46,1991,Networks with Learned Unit Response Functions,1.7037037037037035,314.26027706290665
457,7,1991,Constrained Optimization Applied to the Parameter Setting Problem for Analog Circuits,0.25925925925925924,45.878394226371775
459,163,1991,Active Exploration in Dynamic Environments,6.037037037037037,75.29022592460886
460,2,1991,A Neural Net Model for Adaptive Control of Saccadic Accuracy by Primate Cerebellum and Brainstem,0.07407407407407407,124.02488579558013
461,20,1991,Network Model of State-Dependent Sequencing,0.7407407407407407,87.24506462623579
464,0,1991,Single Neuron Model: Response to Weak Modulation in the Presence of Noise,0.0,32.859353341188616
468,6,1991,Threshold Network Learning in the Presence of Equivalences,0.2222222222222222,454.30948248864786
